student_id,course_id,quiz_count,avg_score,slope,intercept,r_squared,p_value_slope,score_sequence,trajectory_label
31048,4606,6,80.0,-4.571429,96.0,0.2286,0.337502,"100.0,80.0,60.0,100.0,80.0,60.0",Steady High Performer
31048,4614,6,80.0,-4.571429,96.0,0.4571,0.140357,"80.0,100.0,80.0,80.0,80.0,60.0",Steady High Performer
31049,4606,6,80.0,1.142857,76.0,0.0286,0.748868,"80.0,80.0,80.0,80.0,60.0,100.0",Steady High Performer
31049,4614,6,83.3333,-7.428571,109.3333,0.2733,0.28725,"100.0,100.0,100.0,40.0,100.0,60.0",Decliner
31050,4606,6,76.6667,-10.857143,114.6667,0.476,0.129286,"100.0,80.0,80.0,100.0,80.0,20.0",Decliner
31050,4614,6,83.3333,0.571429,81.3333,0.005,0.893668,"60.0,100.0,100.0,80.0,80.0,80.0",Steady High Performer
31051,4606,4,100.0,0.0,100.0,0.0,1.0,"100.0,100.0,100.0,100.0",Steady High Performer
31051,4614,6,80.0,-1.142857,84.0,0.0286,0.748868,"80.0,80.0,80.0,100.0,60.0,80.0",Steady High Performer
31052,4606,5,84.0,-4.0,96.0,0.5,0.18169,"100.0,80.0,80.0,80.0,80.0",Steady High Performer
31052,4614,6,76.6667,-2.857143,86.6667,0.4286,0.158302,"80.0,80.0,80.0,80.0,80.0,60.0",Steady High Performer
31053,4606,6,86.6667,-1.142857,90.6667,0.0171,0.804726,"100.0,80.0,80.0,100.0,60.0,100.0",Steady High Performer
31053,4614,6,83.3333,-0.571429,85.3333,0.0171,0.804726,"80.0,80.0,100.0,80.0,80.0,80.0",Steady High Performer
31054,4606,6,86.6667,-2.285714,94.6667,0.1714,0.41443,"100.0,80.0,80.0,100.0,80.0,80.0",Steady High Performer
31054,4614,6,86.6667,-3.428571,98.6667,0.3857,0.188187,"100.0,80.0,100.0,80.0,80.0,80.0",Steady High Performer
31055,4606,6,83.3333,-5.142857,101.3333,0.4084,0.171901,"100.0,80.0,80.0,100.0,80.0,60.0",Steady High Performer
31055,4614,6,86.6667,1.142857,82.6667,0.0429,0.693907,"80.0,100.0,80.0,80.0,80.0,100.0",Steady High Performer
31056,4606,6,86.6667,6.857143,62.6667,0.6171,0.064032,"80.0,60.0,80.0,100.0,100.0,100.0",Improver
31056,4614,6,86.6667,-8.0,114.6667,0.84,0.010164,"100.0,100.0,100.0,80.0,80.0,60.0",Decliner
31057,4606,6,73.3333,8.0,45.3333,0.525,0.103346,"40.0,60.0,80.0,100.0,80.0,80.0",Improver
31057,4614,6,53.3333,-4.571429,69.3333,0.1247,0.49237,"60.0,40.0,80.0,80.0,20.0,40.0",Stable Average
31058,4606,6,83.3333,0.571429,81.3333,0.0171,0.804726,"80.0,80.0,80.0,100.0,80.0,80.0",Steady High Performer
31058,4614,6,86.6667,-3.428571,98.6667,0.3857,0.188187,"100.0,80.0,100.0,80.0,80.0,80.0",Steady High Performer
31059,4606,6,70.0,-4.0,84.0,0.4667,0.134702,"80.0,80.0,60.0,80.0,60.0,60.0",Steady High Performer
31059,4614,6,80.0,-2.285714,88.0,0.1143,0.512225,"80.0,80.0,80.0,100.0,80.0,60.0",Steady High Performer
31060,4188,5,53.0,-7.0,74.0,0.1369,0.539928,"100.0,20.0,40.0,60.0,45.0",Decliner
31060,4606,6,86.6667,-2.285714,94.6667,0.1714,0.41443,"100.0,80.0,80.0,100.0,80.0,80.0",Steady High Performer
31060,4614,6,83.3333,-0.571429,85.3333,0.0171,0.804726,"80.0,80.0,100.0,80.0,80.0,80.0",Steady High Performer
31061,4606,6,86.6667,-3.428571,98.6667,0.1543,0.441113,"100.0,80.0,80.0,100.0,100.0,60.0",Steady High Performer
31061,4614,6,86.6667,-3.428571,98.6667,0.3857,0.188187,"100.0,80.0,100.0,80.0,80.0,80.0",Steady High Performer
31062,4188,6,58.0556,5.095238,40.2222,0.1053,0.530277,"80.0,20.0,60.0,33.33,55.0,100.0",Improver
31062,4606,6,36.6667,-8.571429,66.6667,0.2967,0.263751,"80.0,60.0,0.0,20.0,20.0,40.0",Decliner
31062,4614,6,43.3333,-6.285714,65.3333,0.1165,0.507837,"100.0,0.0,60.0,20.0,40.0,40.0",Decliner
31063,4606,6,73.3333,-8.0,101.3333,0.3818,0.191094,"100.0,60.0,80.0,100.0,60.0,40.0",Decliner
31063,4614,6,83.3333,-4.0,97.3333,0.2471,0.315825,"100.0,80.0,100.0,60.0,80.0,80.0",Steady High Performer
31064,4606,6,90.0,0.571429,88.0,0.0095,0.85408,"100.0,80.0,80.0,100.0,80.0,100.0",Steady High Performer
31064,4614,6,90.0,-5.142857,108.0,0.7714,0.021312,"100.0,100.0,100.0,80.0,80.0,80.0",Steady High Performer
31065,4606,6,83.3333,-1.714286,89.3333,0.0454,0.685301,"100.0,80.0,60.0,100.0,80.0,80.0",Steady High Performer
31065,4614,6,80.0,-1.142857,84.0,0.0286,0.748868,"100.0,60.0,80.0,80.0,80.0,80.0",Steady High Performer
31066,4606,6,90.0,0.571429,88.0,0.0095,0.85408,"100.0,80.0,80.0,100.0,80.0,100.0",Steady High Performer
31066,4614,6,80.0,-4.571429,96.0,0.4571,0.140357,"80.0,100.0,80.0,80.0,80.0,60.0",Steady High Performer
31067,4606,6,90.0,0.571429,88.0,0.0095,0.85408,"100.0,80.0,80.0,100.0,80.0,100.0",Steady High Performer
31067,4614,6,86.6667,-2.285714,94.6667,0.1714,0.41443,"100.0,80.0,80.0,100.0,80.0,80.0",Steady High Performer
31068,4606,5,84.0,-6.0,102.0,0.3214,0.318932,"100.0,80.0,100.0,60.0,80.0",Steady High Performer
31068,4614,6,66.6667,-12.571429,110.6667,0.3576,0.209898,"100.0,100.0,80.0,0.0,80.0,40.0",Decliner
31069,4606,6,83.3333,-5.142857,101.3333,0.4084,0.171901,"100.0,80.0,80.0,100.0,80.0,60.0",Steady High Performer
31069,4614,6,90.0,-5.142857,108.0,0.7714,0.021312,"100.0,100.0,100.0,80.0,80.0,80.0",Steady High Performer
31070,4606,6,90.0,-4.0,104.0,0.4667,0.134702,"100.0,100.0,80.0,100.0,80.0,80.0",Steady High Performer
31070,4614,6,83.3333,-2.857143,93.3333,0.4286,0.158302,"100.0,80.0,80.0,80.0,80.0,80.0",Steady High Performer
31071,4606,6,83.3333,-5.142857,101.3333,0.4084,0.171901,"100.0,80.0,80.0,100.0,80.0,60.0",Steady High Performer
31071,4614,6,80.0,0.0,80.0,0.0,1.0,"80.0,80.0,80.0,80.0,80.0,80.0",Steady High Performer
31072,4188,7,59.5238,-2.02381,67.619,0.0451,0.647549,"80.0,80.0,20.0,60.0,50.0,66.67,60.0",Stable Average
31072,4606,6,80.0,-2.285714,88.0,0.1143,0.512225,"80.0,80.0,80.0,100.0,80.0,60.0",Steady High Performer
31072,4614,6,80.0,-1.142857,84.0,0.0286,0.748868,"80.0,80.0,100.0,60.0,80.0,80.0",Steady High Performer
31073,4606,6,83.3333,-5.142857,101.3333,0.4084,0.171901,"100.0,80.0,80.0,100.0,80.0,60.0",Steady High Performer
31073,4614,6,80.0,-6.857143,104.0,0.5143,0.108701,"100.0,80.0,100.0,60.0,80.0,60.0",Decliner
31074,4606,6,93.3333,2.285714,85.3333,0.1714,0.41443,"100.0,80.0,80.0,100.0,100.0,100.0",Steady High Performer
31074,4614,6,86.6667,-3.428571,98.6667,0.3857,0.188187,"100.0,80.0,100.0,80.0,80.0,80.0",Steady High Performer
31075,4606,6,83.3333,-4.0,97.3333,0.2471,0.315825,"100.0,80.0,80.0,100.0,60.0,80.0",Steady High Performer
31075,4614,6,76.6667,-1.714286,82.6667,0.1543,0.441113,"80.0,80.0,80.0,80.0,60.0,80.0",Steady High Performer
31076,4606,6,86.6667,2.285714,78.6667,0.1714,0.41443,"80.0,80.0,80.0,100.0,100.0,80.0",Steady High Performer
31076,4614,6,86.6667,-2.285714,94.6667,0.1714,0.41443,"80.0,100.0,100.0,80.0,80.0,80.0",Steady High Performer
31077,4606,6,83.3333,-4.0,97.3333,0.2471,0.315825,"100.0,80.0,80.0,100.0,60.0,80.0",Steady High Performer
31077,4614,6,80.0,-1.142857,84.0,0.0286,0.748868,"100.0,60.0,80.0,80.0,80.0,80.0",Steady High Performer
31078,4606,6,86.6667,-3.428571,98.6667,0.1543,0.441113,"100.0,80.0,80.0,100.0,100.0,60.0",Steady High Performer
31078,4614,6,86.6667,-3.428571,98.6667,0.3857,0.188187,"100.0,80.0,100.0,80.0,80.0,80.0",Steady High Performer
31079,4606,6,80.0,1.142857,76.0,0.0286,0.748868,"80.0,80.0,60.0,100.0,80.0,80.0",Steady High Performer
31079,4614,6,83.3333,-1.714286,89.3333,0.1543,0.441113,"80.0,100.0,80.0,80.0,80.0,80.0",Steady High Performer
31080,4606,6,86.6667,1.142857,82.6667,0.0171,0.804726,"100.0,80.0,60.0,100.0,80.0,100.0",Steady High Performer
31080,4614,6,86.6667,-4.571429,102.6667,0.6857,0.041795,"100.0,100.0,80.0,80.0,80.0,80.0",Steady High Performer
31081,4606,6,90.0,0.571429,88.0,0.0095,0.85408,"100.0,80.0,80.0,100.0,80.0,100.0",Steady High Performer
31081,4614,6,83.3333,-1.714286,89.3333,0.1543,0.441113,"80.0,100.0,80.0,80.0,80.0,80.0",Steady High Performer
31082,4606,6,86.6667,-2.285714,94.6667,0.1714,0.41443,"100.0,80.0,80.0,100.0,80.0,80.0",Steady High Performer
31082,4614,6,83.3333,0.571429,81.3333,0.0171,0.804726,"80.0,80.0,80.0,100.0,80.0,80.0",Steady High Performer
31083,4606,6,43.3333,4.0,29.3333,0.2471,0.315825,"40.0,20.0,40.0,60.0,60.0,40.0",Stable Average
31083,4614,5,28.0,-2.0,34.0,0.0192,0.824001,"20.0,60.0,20.0,0.0,40.0",Consistently Struggling
31084,4606,6,80.0,9.142857,48.0,0.6095,0.066854,"40.0,80.0,80.0,100.0,80.0,100.0",Improver
31084,4614,6,83.3333,-0.571429,85.3333,0.0171,0.804726,"80.0,80.0,100.0,80.0,80.0,80.0",Steady High Performer
31085,4606,6,50.0,-1.714286,56.0,0.0135,0.826285,"40.0,40.0,60.0,100.0,40.0,20.0",Stable Average
31085,4614,6,83.3333,-2.857143,93.3333,0.4286,0.158302,"100.0,80.0,80.0,80.0,80.0,80.0",Steady High Performer
31086,4606,6,73.3333,-2.285714,81.3333,0.0686,0.616186,"60.0,80.0,100.0,80.0,60.0,60.0",Steady High Performer
31086,4614,6,86.6667,-3.428571,98.6667,0.3857,0.188187,"100.0,80.0,100.0,80.0,80.0,80.0",Steady High Performer
31087,4606,6,66.6667,-2.285714,74.6667,0.0686,0.616186,"80.0,60.0,80.0,60.0,40.0,80.0",Steady High Performer
31087,4614,6,80.0,-3.428571,92.0,0.2571,0.304559,"80.0,100.0,80.0,80.0,60.0,80.0",Steady High Performer
31088,4606,6,86.6667,-2.285714,94.6667,0.1714,0.41443,"100.0,80.0,80.0,100.0,80.0,80.0",Steady High Performer
31088,4614,6,83.3333,-0.571429,85.3333,0.0171,0.804726,"80.0,80.0,100.0,80.0,80.0,80.0",Steady High Performer
31089,4606,6,83.3333,-5.142857,101.3333,0.4084,0.171901,"100.0,80.0,80.0,100.0,80.0,60.0",Steady High Performer
31089,4614,6,80.0,0.0,80.0,0.0,1.0,"80.0,80.0,80.0,80.0,80.0,80.0",Steady High Performer
