student_id,course_id,programme_level,Group,course_name,course_code,quizzes_attempted,max_quizzes_in_course,participation_rate,avg_quiz_score_pct,engagement_score,profile_label,ese_percentage
40398,4616,PG,MBA,HUMAN PSYCHOLOGY AT WORK 2025-2027,MBA203D12,1,1.0,100.0,100.0,100.0,High,58.0
40398,4618,PG,MBA,MANAGERIAL ECONOMICS 2025-27,MBA203D13,3,3.0,100.0,91.6667,96.6667,High,80.0
40398,4619,PG,MBA,STATISTICAL TECHNIQUES FOR BUSINESS DECISIONS 2025-27,MBA203D14,10,10.0,100.0,97.5,99.0,High,100.0
40398,4620,PG,MBA,CONTEMPORARY MARKETING 2025-27,MBA203D15,5,5.0,100.0,80.75,92.3,High,72.0
40398,4621,PG,MBA,old for reference TRANSFORMING BUSINESS THROUGH INFROMATION TECHNOLOGY 2024,MBA402D11,3,4.0,75.0,90.0,81.0,High,77.14
40398,4622,PG,MBA,FUNDAMENTALS OF MANAGEMENT PRACTICE-2025-27,MBA402D12,6,12.0,50.0,38.0556,45.2222,Medium,62.86
40399,4615,PG,MBA,FINANCIAL ANALYSIS AND REPORTING 2025-2027,MBA203D11,3,5.0,60.0,73.3333,65.3333,High,74.0
40399,4616,PG,MBA,HUMAN PSYCHOLOGY AT WORK 2025-2027,MBA203D12,1,1.0,100.0,66.6667,86.6667,High,64.0
40399,4618,PG,MBA,MANAGERIAL ECONOMICS 2025-27,MBA203D13,2,3.0,66.6667,90.0,76.0,High,78.0
40399,4619,PG,MBA,STATISTICAL TECHNIQUES FOR BUSINESS DECISIONS 2025-27,MBA203D14,8,10.0,80.0,75.0,78.0,High,76.0
40399,4620,PG,MBA,CONTEMPORARY MARKETING 2025-27,MBA203D15,3,5.0,60.0,89.1667,71.6667,High,74.0
40399,4621,PG,MBA,old for reference TRANSFORMING BUSINESS THROUGH INFROMATION TECHNOLOGY 2024,MBA402D11,2,4.0,50.0,66.6666,56.6666,Medium,80.0
40399,4622,PG,MBA,FUNDAMENTALS OF MANAGEMENT PRACTICE-2025-27,MBA402D12,2,12.0,16.6667,22.5,19.0,Low,68.57
40400,4615,PG,MBA,FINANCIAL ANALYSIS AND REPORTING 2025-2027,MBA203D11,3,5.0,60.0,96.6667,74.6667,High,100.0
40400,4616,PG,MBA,HUMAN PSYCHOLOGY AT WORK 2025-2027,MBA203D12,1,1.0,100.0,100.0,100.0,High,72.0
40400,4618,PG,MBA,MANAGERIAL ECONOMICS 2025-27,MBA203D13,3,3.0,100.0,86.6667,94.6667,High,76.0
40400,4619,PG,MBA,STATISTICAL TECHNIQUES FOR BUSINESS DECISIONS 2025-27,MBA203D14,3,10.0,30.0,53.3333,39.3333,Low,92.0
40400,4620,PG,MBA,CONTEMPORARY MARKETING 2025-27,MBA203D15,5,5.0,100.0,79.5,91.8,High,74.0
40400,4621,PG,MBA,old for reference TRANSFORMING BUSINESS THROUGH INFROMATION TECHNOLOGY 2024,MBA402D11,2,4.0,50.0,70.0,58.0,Medium,82.86
40400,4622,PG,MBA,FUNDAMENTALS OF MANAGEMENT PRACTICE-2025-27,MBA402D12,7,12.0,58.3333,65.0,61.0,High,71.43
40401,4615,PG,MBA,FINANCIAL ANALYSIS AND REPORTING 2025-2027,MBA203D11,3,5.0,60.0,95.0,74.0,High,100.0
40401,4616,PG,MBA,HUMAN PSYCHOLOGY AT WORK 2025-2027,MBA203D12,1,1.0,100.0,100.0,100.0,High,68.0
40401,4618,PG,MBA,MANAGERIAL ECONOMICS 2025-27,MBA203D13,3,3.0,100.0,73.3333,89.3333,High,80.0
40401,4619,PG,MBA,STATISTICAL TECHNIQUES FOR BUSINESS DECISIONS 2025-27,MBA203D14,7,10.0,70.0,95.0,80.0,High,94.0
40401,4620,PG,MBA,CONTEMPORARY MARKETING 2025-27,MBA203D15,5,5.0,100.0,74.5,89.8,High,76.0
40401,4621,PG,MBA,old for reference TRANSFORMING BUSINESS THROUGH INFROMATION TECHNOLOGY 2024,MBA402D11,3,4.0,75.0,73.3333,74.3333,High,85.71
40401,4622,PG,MBA,FUNDAMENTALS OF MANAGEMENT PRACTICE-2025-27,MBA402D12,12,12.0,100.0,66.1111,86.4444,High,71.43
40402,4615,PG,MBA,FINANCIAL ANALYSIS AND REPORTING 2025-2027,MBA203D11,2,5.0,40.0,100.0,64.0,High,72.0
40402,4616,PG,MBA,HUMAN PSYCHOLOGY AT WORK 2025-2027,MBA203D12,0,1.0,0.0,0.0,0.0,Low,62.0
40402,4618,PG,MBA,MANAGERIAL ECONOMICS 2025-27,MBA203D13,2,3.0,66.6667,95.0,78.0,High,72.0
40402,4619,PG,MBA,STATISTICAL TECHNIQUES FOR BUSINESS DECISIONS 2025-27,MBA203D14,2,10.0,20.0,100.0,52.0,Medium,70.0
40402,4620,PG,MBA,CONTEMPORARY MARKETING 2025-27,MBA203D15,4,5.0,80.0,92.8125,85.125,High,64.0
40402,4621,PG,MBA,old for reference TRANSFORMING BUSINESS THROUGH INFROMATION TECHNOLOGY 2024,MBA402D11,2,4.0,50.0,70.0,58.0,Medium,82.86
40402,4622,PG,MBA,FUNDAMENTALS OF MANAGEMENT PRACTICE-2025-27,MBA402D12,11,12.0,91.6667,69.4697,82.7879,High,65.71
40403,4615,PG,MBA,FINANCIAL ANALYSIS AND REPORTING 2025-2027,MBA203D11,2,5.0,40.0,82.0588,56.8235,Medium,48.0
40403,4616,PG,MBA,HUMAN PSYCHOLOGY AT WORK 2025-2027,MBA203D12,0,1.0,0.0,0.0,0.0,Low,48.0
40403,4618,PG,MBA,MANAGERIAL ECONOMICS 2025-27,MBA203D13,2,3.0,66.6667,57.5,63.0,High,56.0
40403,4619,PG,MBA,STATISTICAL TECHNIQUES FOR BUSINESS DECISIONS 2025-27,MBA203D14,1,10.0,10.0,70.0,34.0,Low,96.0
40403,4620,PG,MBA,CONTEMPORARY MARKETING 2025-27,MBA203D15,1,5.0,20.0,50.0,32.0,Low,66.0
40403,4621,PG,MBA,old for reference TRANSFORMING BUSINESS THROUGH INFROMATION TECHNOLOGY 2024,MBA402D11,2,4.0,50.0,80.0,62.0,High,62.86
40403,4622,PG,MBA,FUNDAMENTALS OF MANAGEMENT PRACTICE-2025-27,MBA402D12,2,12.0,16.6667,55.0,32.0,Low,54.29
40404,4615,PG,MBA,FINANCIAL ANALYSIS AND REPORTING 2025-2027,MBA203D11,2,5.0,40.0,87.5,59.0,Medium,72.0
40404,4616,PG,MBA,HUMAN PSYCHOLOGY AT WORK 2025-2027,MBA203D12,0,1.0,0.0,0.0,0.0,Low,66.0
40404,4618,PG,MBA,MANAGERIAL ECONOMICS 2025-27,MBA203D13,3,3.0,100.0,86.6667,94.6667,High,78.0
40404,4619,PG,MBA,STATISTICAL TECHNIQUES FOR BUSINESS DECISIONS 2025-27,MBA203D14,3,10.0,30.0,93.3333,55.3333,Medium,86.0
40404,4620,PG,MBA,CONTEMPORARY MARKETING 2025-27,MBA203D15,5,5.0,100.0,88.25,95.3,High,70.0
40404,4621,PG,MBA,old for reference TRANSFORMING BUSINESS THROUGH INFROMATION TECHNOLOGY 2024,MBA402D11,2,4.0,50.0,70.0,58.0,Medium,82.86
40404,4622,PG,MBA,FUNDAMENTALS OF MANAGEMENT PRACTICE-2025-27,MBA402D12,3,12.0,25.0,46.6667,33.6667,Low,68.57
